epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,257.099,0.49053,0.32926,1.00352,0.9988,1,0.995,0.94363,0.36493,0.21277,0.81392,0.0002312,0.0002312,0.0002312
136,258.984,0.51648,0.32719,1.02116,0.9988,1,0.995,0.94491,0.37307,0.20896,0.8132,0.000218,0.000218,0.000218
137,260.895,0.49604,0.31651,1.01558,0.9988,1,0.995,0.9259,0.39116,0.2239,0.8211,0.0002048,0.0002048,0.0002048
138,262.786,0.50234,0.33577,1.00561,0.99878,1,0.995,0.93998,0.35812,0.21625,0.81635,0.0001916,0.0001916,0.0001916
139,264.681,0.51898,0.33537,1.03028,0.99876,1,0.995,0.93558,0.37053,0.2142,0.82287,0.0001784,0.0001784,0.0001784
140,266.596,0.51028,0.32791,1.01876,0.99879,1,0.995,0.93773,0.36353,0.21538,0.82029,0.0001652,0.0001652,0.0001652
141,268.896,0.35021,0.20937,0.89299,0.97849,1,0.995,0.93634,0.34557,0.21382,0.80824,0.000152,0.000152,0.000152
142,270.816,0.35637,0.20474,0.90163,0.99701,1,0.995,0.94785,0.3594,0.2134,0.80323,0.0001388,0.0001388,0.0001388
143,272.732,0.34025,0.19806,0.89296,0.99875,1,0.995,0.95305,0.34545,0.21502,0.79913,0.0001256,0.0001256,0.0001256
144,274.652,0.34211,0.19744,0.88257,0.99877,1,0.995,0.95019,0.35691,0.21881,0.80266,0.0001124,0.0001124,0.0001124
145,276.565,0.3392,0.19393,0.89153,0.99879,1,0.995,0.95609,0.35793,0.22416,0.80203,9.92e-05,9.92e-05,9.92e-05
146,278.483,0.34365,0.19533,0.88201,0.99876,1,0.995,0.95642,0.3428,0.21761,0.79805,8.6e-05,8.6e-05,8.6e-05
147,280.429,0.33765,0.19017,0.89316,0.99836,1,0.995,0.9563,0.34919,0.2196,0.80332,7.28e-05,7.28e-05,7.28e-05
148,282.397,0.33696,0.19157,0.89105,0.99876,1,0.995,0.96575,0.33352,0.21613,0.79823,5.96e-05,5.96e-05,5.96e-05
149,284.334,0.34128,0.19291,0.8928,0.99877,1,0.995,0.95925,0.33115,0.21417,0.79821,4.64e-05,4.64e-05,4.64e-05
150,286.276,0.32597,0.19003,0.87903,0.99877,1,0.995,0.96317,0.34048,0.21584,0.80178,3.32e-05,3.32e-05,3.32e-05
